year,life_expectancy,undernourishment,CO2,health_expenditure,education_expenditure,unemployment,sanitation,country_id,continent_id,income_group_id
2001,56.308,47.8,730.0,,,10.8090000152588,,0,0,0
2001,47.059,67.5,15960.0,4.48351622,,4.00400018692017,,1,1,1
2001,74.288,4.9,3230.0,7.13952398,3.45869994163513,18.5750007629395,40.52089533,2,2,2
2001,,,520.0,5.86593914,,,21.78866006,3,2,3
2001,74.544,2.8,97200.0,2.48437047,,2.49300003051758,,4,0,3
2001,73.755,3.0,125260.0,8.37179756,4.833740234375,17.3199996948242,48.05399554,5,3,2
2001,71.8,26.1,3600.0,4.64562702,2.46943998336792,10.9119997024536,46.35189576,6,0,2
2001,,,,,,,,7,4,2
2001,74.171,,350.0,5.43587589,,,,8,5,3
2001,79.63414634146342,2.5,345640.0,7.69622898,,6.73999977111816,58.78889399,9,4,3
2001,78.57560975609756,2.5,67910.0,9.26942921,5.57547998428345,4.01000022888184,99.67939917,10,2,3
2001,67.054,17.0,26400.0,2.75590682,3.50342011451721,10.9099998474121,19.59669997,11,0,2
2001,49.93,,200.0,6.40484381,2.90390992164612,1.58700001239777,,12,1,0
2001,77.97317073170734,2.5,118340.0,8.14988804,,6.17999982833862,73.84454522,13,2,3
2001,55.668,17.2,1740.0,3.24910021,2.36509990692139,0.771000027656555,,14,1,1
2001,50.893,22.6,970.0,2.88835382,,2.64800000190735,,15,1,0
2001,65.956,15.9,25780.0,2.06375051,2.17193007469177,3.61700010299683,18.73700671,16,0,1
2001,71.76829268292684,4.0,46190.0,6.85958767,3.38423991203308,19.9200000762939,50.83995755,17,2,2
2001,74.635,,16390.0,3.68104196,,1.10800004005432,69.38425755,18,0,3
2001,74.637,3.2,13760.0,7.27702522,,26.6140003204346,17.60289939,19,2,2
2001,68.50731707317074,2.5,51880.0,5.70827103,,11.5539999008179,84.22060135,20,2,2
2001,69.04,5.8,530.0,4.63241482,5.79692983627319,9.06999969482422,,21,5,2
2001,77.88536585365854,,,,,,,22,5,3
2001,63.054,27.9,8050.0,4.82522202,,2.48499989509583,28.91301607,23,3,1
2001,70.462,10.7,319380.0,8.54960632,3.84468007087708,9.60999965667725,36.16762407,24,3,2
2001,77.362,6.4,1310.0,5.52529192,6.05536985397339,9.85000038146973,,25,5,3
2001,61.808,,230.0,5.0041995,5.91572999954224,1.89999997615814,62.37396261,26,0,1
2001,50.281,23.7,3870.0,6.15671635,,18.5400009155273,,27,1,2
2001,44.061,39.2,250.0,3.95594192,,5.69299983978271,19.63079212,28,1,0
2001,79.33902439024392,2.5,506620.0,8.62482357,4.95303010940552,7.21999979019165,77.5758104,29,5,3
2001,80.18048780487806,2.5,45150.0,9.43919373,4.81137990951538,2.49000000953674,99.61498273,30,2,3
2001,76.634,3.4,48430.0,7.15104103,,10.3900003433228,51.18679267,31,3,3
2001,71.732,10.0,3529080.0,4.25329876,,3.79999995231628,13.49134882,32,0,2
2001,49.495,20.4,6490.0,6.01772738,2.44477009773254,4.79500007629395,,33,6,1
2001,51.222,22.9,5160.0,4.0975132,2.29733991622925,7.46000003814697,,34,1,1
2001,73.241,8.7,58940.0,5.94238234,3.70867991447449,15.039999961853,15.32835091,35,3,2
2001,59.529,,110.0,6.65322924,,4.68900012969971,,36,1,1
2001,77.601,4.7,5420.0,6.47410393,4.83202981948853,5.92000007629395,38.62663605,37,5,2
2001,76.905,2.5,27470.0,6.98209763,8.3580904006958,4.07999992370605,40.22396538,38,5,2
2001,78.139,5.1,6990.0,5.33940458,5.11552000045776,3.98000001907349,76.17387116,39,0,3
2001,78.32926829268293,2.5,847680.0,9.92046165,,7.76999998092651,95.81332596,40,2,3
2001,57.1,42.0,380.0,2.8072207,7.80542993545532,28.2169990539551,24.85958539,41,1,1
2001,,3.7,150.0,4.6450181,,,,42,5,2
2001,76.79268292682929,2.5,54250.0,8.44832611,8.21545028686523,4.15999984741211,86.80214056,43,2,3
2001,69.69,20.4,18980.0,4.88183308,1.96782994270325,7.26000022888184,,44,5,2
2001,71.116,8.0,78650.0,3.83787704,,27.2999992370605,21.35186836,45,1,1
2001,73.078,21.0,24250.0,3.75336552,,4.25,39.98472033,46,3,2
